,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
10,-924.1036,0.3908845,-3.4975424,2.1928763,-2.3255877,3.298383,-2.3259373,-0.47958228,-3.195012,1.1463919,-4.289692,1.5616195,-5.278276,-1.974919,-6.5314517,1.5081568,-0.5398666,3.9527404,-2.984461,-1.1544187,-3.5711746,0.7459347,-3.192543,5.1907206,0.04392252,2.9069529,0.21506031,2.801766,-2.3270695,2.5222714,-2.4898736,-0.37978134,-4.7184563,0.7767746,-4.984813,1.0604391,2.1104994,3.6699164,-1.5368221,1.1365407
11,-922.4068,1.7721666,-2.1448877,3.2906592,-1.5466713,3.5550647,-2.6056795,-0.31954035,-3.2803385,1.313504,-3.9494188,1.8882728,-4.532939,-1.6111174,-6.289382,0.714621,-1.5961394,3.0750098,-3.511632,-1.2776738,-3.7403076,0.46135086,-3.7449942,3.92487,-0.7857875,2.4417648,-0.49525717,2.4952025,-2.949537,1.9180007,-2.491833,0.10183749,-4.214012,0.9888692,-4.4321756,0.8512808,1.2501199,3.2723544,-1.7750869,0.66811407
12,-903.8633,16.279665,2.4873483,5.3011913,3.372183,3.5861032,-2.1287496,-1.8887913,-2.8722606,-0.7975816,-3.7368207,0.70928425,-3.6763208,-3.6156638,-5.5488224,-0.0026956412,-1.3460518,1.5012794,-2.2621431,-3.0605817,-3.767825,-1.4051709,-3.7683933,1.5326233,-1.1692005,0.011399489,-0.5568967,0.37087372,-2.5274293,0.34530887,-2.3807697,-1.9050584,-3.9399273,-0.72238326,-4.372307,-0.5017798,1.6758528,1.5504162,-1.424705,-0.41142732
13,-789.5305,12.270504,-0.50719917,3.0566974,0.35015604,-1.8752903,-0.6423694,-0.47560763,-1.9917898,-0.4095238,-1.1723609,-1.3471745,0.005772752,-1.1497415,-0.077926874,0.1303414,-0.042137414,-0.5705767,-0.36901882,-0.04191419,-0.58271027,-0.47396746,-1.1247884,-0.3239255,-0.56021315,-0.94889784,-0.4771557,-0.61263615,-0.533899,-0.70527965,-0.25330326,-0.4260517,-0.32005262,-0.14888893,-0.54384804,-0.3747404,-0.4378517,-0.48283288,-0.388054,-0.38231793
14,-839.68835,16.836664,1.348437,2.8507001,1.3871734,1.717917,-0.23497735,-2.4025018,0.06593032,0.30907977,-1.5625207,0.06767986,-1.0167962,-0.8639221,0.61730725,-1.3155496,-0.24424517,-0.8695323,-0.9697285,-0.25178817,-1.5149586,-1.3751751,-1.3843232,-1.5362682,-1.416746,-0.91645825,-1.1466638,-0.8073781,-0.9266163,-1.2850631,-0.60359544,-0.78194404,-0.718291,-0.80658674,-0.66801614,-0.6498737,-0.5686887,-0.5164565,-0.7277804,-0.41798812
15,-785.6704,21.453703,8.5859165,6.7500787,7.0350738,4.713515,1.9618163,2.0078614,-0.11320965,1.4785323,-0.02275015,-1.0180775,0.062231474,-1.2186403,-0.14425986,-0.7617294,-0.92526704,-1.3119849,-0.4372008,-1.0050685,-2.499561,-1.3452666,-2.3005059,-2.2326791,-2.2229185,-2.2860281,-2.0626047,-2.0011737,-1.7472081,-2.0909278,-1.6164546,-1.753726,-1.5525086,-1.3771677,-1.4715705,-1.2054683,-1.1441286,-1.2358438,-1.4707603,-1.1994113
16,-807.6541,13.86163,0.7049914,3.5695877,0.9067817,-0.9130343,-0.6205329,-0.012442662,-2.142511,-0.28380066,-1.050789,-0.7415762,-0.2586832,-1.4611815,0.36820373,-0.31984857,0.1253252,-0.88535494,-0.68982464,0.25368887,-0.8160869,-0.6104803,-0.64344513,-0.6633261,-0.9111832,-0.9339272,-0.94013155,-0.29335445,-0.770761,-0.5422563,-0.2374318,-0.83836204,-0.31633818,-0.56423575,-0.38638306,-0.6968757,-0.40723988,-0.59052926,-0.5753856,-0.160389
17,-898.34424,15.944599,-0.43815595,2.531591,0.0031213907,2.2574546,0.41736305,-1.9633838,-3.1671455,-0.5165502,-2.6323814,-0.7285918,-2.1922338,-2.7628212,-4.023613,0.86259353,-0.18423189,1.7409625,-0.7517281,-2.7726455,-2.7049696,-1.3352518,-2.8500264,1.3094466,-0.17528789,0.12908578,0.5144561,0.80730957,-1.8018762,-0.16632256,-1.7139589,-2.2215993,-3.0230985,-0.58637685,-3.6273005,-1.0735279,1.9624852,1.2168562,-0.85156965,-0.58847475
18,-784.30865,16.755697,5.97645,6.9890747,3.3167179,2.6365712,3.288146,0.8467405,0.5836296,1.2566955,-1.082978,-0.45076722,-0.4033832,-1.7107376,-0.21909459,-0.276124,-1.2070113,-1.5357823,-0.43652016,-0.76745147,-1.428809,-1.0922346,-1.5216044,-1.3093309,-1.6301771,-1.6495562,-1.289709,-1.120476,-1.5214081,-1.2637635,-1.0741888,-1.7014949,-1.0614076,-1.1614776,-1.2358613,-1.0029774,-1.1539837,-1.2252054,-1.0086874,-0.7739305
19,-807.8127,11.611391,1.6237221,2.2661173,-0.6959808,-0.0010987502,-1.0625806,-1.2629333,-1.5610416,-0.26949733,-1.8776987,-1.166995,0.5992191,-2.0731783,-0.43938023,0.008414049,-0.2005006,-0.7070249,-0.7066832,-0.24979997,-1.0069308,-0.4775399,-1.3437,-0.89550346,-0.7562498,-1.1762011,-0.8507971,-0.80079496,-0.48573366,-0.68357694,-0.29926014,-0.6406673,-0.50886434,-0.25098208,-0.8033298,-0.48945004,-0.4672692,-0.49963894,-0.38750082,-0.3950867
